Test Article: Pier foundation
Mech. Interface: Al plate/ stud
Accelerometers: <e.g. BK 8340 S/N51828> | 
Acc. Location: <description>
Axis Convention: Z(Ch.0) vertical
Mechanical units (m.u.): m/s^2
Test Conditions: Ambient and various
Test Location: Subaru telescope, Mauna Kea, Hawaii
Test Engineer(s): PWGB, HT, DMM, PS, Daigo
Time zone: Hawaii
waveform	[0]
t0	5/15/2014  11:13:07.391625
delta t	0.001000

time	Y[0]
5/15/2014  11:13:07.391625	3.295610E-3
5/15/2014  11:13:07.392625	-6.135592E-4
5/15/2014  11:13:07.393625	-2.834996E-3
5/15/2014  11:13:07.394625	9.581199E-4
5/15/2014  11:13:07.395625	1.835779E-3
5/15/2014  11:13:07.396625	-2.521649E-3
5/15/2014  11:13:07.397625	-2.761211E-3
5/15/2014  11:13:07.398625	2.623959E-3
5/15/2014  11:13:07.399625	1.612647E-3
5/15/2014  11:13:07.400625	-3.058519E-3
5/15/2014  11:13:07.401625	-5.611034E-4
5/15/2014  11:13:07.402625	3.095238E-3
5/15/2014  11:13:07.403625	1.538125E-4
5/15/2014  11:13:07.404625	-3.873187E-3
5/15/2014  11:13:07.405625	1.147091E-3
5/15/2014  11:13:07.406625	3.419293E-3
5/15/2014  11:13:07.407625	-2.121814E-3
5/15/2014  11:13:07.408625	-3.104905E-3
5/15/2014  11:13:07.409625	-3.293009E-4
5/15/2014  11:13:07.410625	-1.317941E-3
5/15/2014  11:13:07.411625	-5.778502E-3
5/15/2014  11:13:07.412625	-4.663535E-3
5/15/2014  11:13:07.413625	4.186925E-3
5/15/2014  11:13:07.414625	9.847033E-3
5/15/2014  11:13:07.415625	5.648186E-3
5/15/2014  11:13:07.416625	2.009923E-3
5/15/2014  11:13:07.417625	-4.032202E-3
5/15/2014  11:13:07.418625	-5.980609E-3
5/15/2014  11:13:07.419625	-2.442662E-3
5/15/2014  11:13:07.420625	5.177558E-3
5/15/2014  11:13:07.421625	8.949085E-3
5/15/2014  11:13:07.422625	2.235050E-3
5/15/2014  11:13:07.423625	-2.931324E-3
5/15/2014  11:13:07.424625	-3.909082E-3
5/15/2014  11:13:07.425625	-3.810977E-3
5/15/2014  11:13:07.426625	-1.924737E-3
5/15/2014  11:13:07.427625	2.188446E-3
5/15/2014  11:13:07.428625	5.727997E-3
5/15/2014  11:13:07.429625	1.670608E-3
5/15/2014  11:13:07.430625	-5.451586E-3
5/15/2014  11:13:07.431625	-3.600200E-3
5/15/2014  11:13:07.432625	-1.216020E-3
5/15/2014  11:13:07.433625	-3.606876E-5
5/15/2014  11:13:07.434625	-1.584078E-4
5/15/2014  11:13:07.435625	5.347238E-3
5/15/2014  11:13:07.436625	3.663191E-3
5/15/2014  11:13:07.437625	-4.505474E-3
5/15/2014  11:13:07.438625	-5.170275E-3
5/15/2014  11:13:07.439625	4.704113E-4
5/15/2014  11:13:07.440625	4.145784E-3
5/15/2014  11:13:07.441625	-1.967699E-3
5/15/2014  11:13:07.442625	1.146787E-3
5/15/2014  11:13:07.443625	3.762206E-3
5/15/2014  11:13:07.444625	-1.653441E-4
5/15/2014  11:13:07.445625	-5.901578E-3
5/15/2014  11:13:07.446625	-2.447691E-3
5/15/2014  11:13:07.447625	4.446602E-3
5/15/2014  11:13:07.448625	5.451932E-4
5/15/2014  11:13:07.449625	-2.283170E-3
5/15/2014  11:13:07.450625	2.553036E-3
5/15/2014  11:13:07.451625	2.863175E-3
5/15/2014  11:13:07.452625	-3.714216E-3
5/15/2014  11:13:07.453625	-3.963142E-3
5/15/2014  11:13:07.454625	2.615029E-3
5/15/2014  11:13:07.455625	3.715906E-3
5/15/2014  11:13:07.456625	-1.328432E-3
5/15/2014  11:13:07.457625	-1.324227E-3
5/15/2014  11:13:07.458625	3.731166E-3
5/15/2014  11:13:07.459625	-5.142400E-4
5/15/2014  11:13:07.460625	-5.474085E-3
5/15/2014  11:13:07.461625	1.881472E-4
5/15/2014  11:13:07.462625	4.218485E-3
5/15/2014  11:13:07.463625	-2.392157E-4
5/15/2014  11:13:07.464625	-3.049891E-3
5/15/2014  11:13:07.465625	-6.977919E-4
5/15/2014  11:13:07.466625	2.042134E-3
