Test Article: Pier foundation
Mech. Interface: Al plate/ stud
Accelerometers: <e.g. BK 8340 S/N51828> | 
Acc. Location: <description>
Axis Convention: Z(Ch.0) vertical
Mechanical units (m.u.): m/s^2
Test Conditions: Ambient and various
Test Location: Subaru telescope, Mauna Kea, Hawaii
Test Engineer(s): PWGB, HT, DMM, PS, Daigo
Time zone: Hawaii
waveform	[0]
t0	5/15/2014  11:13:16.626000
delta t	0.001000

time	Y[0]
5/15/2014  11:13:16.626000	-2.243460E-4
5/15/2014  11:13:16.627000	3.934617E-3
5/15/2014  11:13:16.628000	8.800432E-4
5/15/2014  11:13:16.629000	-3.511155E-3
5/15/2014  11:13:16.630000	-5.063500E-4
5/15/2014  11:13:16.631000	3.762943E-3
5/15/2014  11:13:16.632000	-9.877726E-4
5/15/2014  11:13:16.633000	-3.308832E-3
5/15/2014  11:13:16.634000	2.247361E-3
5/15/2014  11:13:16.635000	1.988031E-3
5/15/2014  11:13:16.636000	-1.000735E-3
5/15/2014  11:13:16.637000	-3.828968E-3
5/15/2014  11:13:16.638000	2.104994E-3
5/15/2014  11:13:16.639000	4.813186E-3
5/15/2014  11:13:16.640000	-6.171530E-3
5/15/2014  11:13:16.641000	-5.832128E-4
5/15/2014  11:13:16.642000	3.368875E-4
5/15/2014  11:13:16.643000	1.632285E-3
5/15/2014  11:13:16.644000	-2.014779E-3
5/15/2014  11:13:16.645000	1.535524E-4
5/15/2014  11:13:16.646000	5.265433E-3
5/15/2014  11:13:16.647000	-1.087439E-3
5/15/2014  11:13:16.648000	-9.791022E-4
5/15/2014  11:13:16.649000	-2.078463E-3
5/15/2014  11:13:16.650000	2.745258E-3
5/15/2014  11:13:16.651000	-4.208601E-4
5/15/2014  11:13:16.652000	-2.551605E-3
5/15/2014  11:13:16.653000	2.833999E-3
5/15/2014  11:13:16.654000	2.426231E-3
5/15/2014  11:13:16.655000	-1.688079E-3
5/15/2014  11:13:16.656000	-4.957201E-3
5/15/2014  11:13:16.657000	1.873928E-3
5/15/2014  11:13:16.658000	4.473871E-3
5/15/2014  11:13:16.659000	-2.308097E-3
5/15/2014  11:13:16.660000	-2.075081E-3
5/15/2014  11:13:16.661000	4.027650E-3
5/15/2014  11:13:16.662000	3.941553E-4
5/15/2014  11:13:16.663000	-2.302809E-3
5/15/2014  11:13:16.664000	-2.736978E-3
5/15/2014  11:13:16.665000	5.711307E-3
5/15/2014  11:13:16.666000	-1.748988E-3
5/15/2014  11:13:16.667000	-3.781628E-3
5/15/2014  11:13:16.668000	2.264876E-3
5/15/2014  11:13:16.669000	2.222217E-3
5/15/2014  11:13:16.670000	-1.026009E-3
5/15/2014  11:13:16.671000	-4.834168E-3
5/15/2014  11:13:16.672000	1.847440E-3
5/15/2014  11:13:16.673000	2.046122E-3
5/15/2014  11:13:16.674000	-4.342341E-3
5/15/2014  11:13:16.675000	-2.518744E-4
5/15/2014  11:13:16.676000	4.542930E-3
5/15/2014  11:13:16.677000	8.508674E-4
5/15/2014  11:13:16.678000	-3.807769E-3
5/15/2014  11:13:16.679000	-5.667391E-4
5/15/2014  11:13:16.680000	2.554033E-3
5/15/2014  11:13:16.681000	-8.785692E-4
5/15/2014  11:13:16.682000	4.768707E-5
5/15/2014  11:13:16.683000	1.610696E-3
5/15/2014  11:13:16.684000	1.640825E-3
5/15/2014  11:13:16.685000	-2.850213E-3
5/15/2014  11:13:16.686000	-1.892917E-3
5/15/2014  11:13:16.687000	-2.681747E-4
5/15/2014  11:13:16.688000	3.293399E-3
5/15/2014  11:13:16.689000	-3.579998E-4
5/15/2014  11:13:16.690000	-2.548527E-3
5/15/2014  11:13:16.691000	2.506042E-3
5/15/2014  11:13:16.692000	-2.239601E-3
5/15/2014  11:13:16.693000	-1.540336E-3
5/15/2014  11:13:16.694000	1.393459E-3
5/15/2014  11:13:16.695000	2.468153E-3
5/15/2014  11:13:16.696000	1.716041E-3
5/15/2014  11:13:16.697000	-4.714864E-3
5/15/2014  11:13:16.698000	-4.538942E-5
5/15/2014  11:13:16.699000	1.945676E-3
5/15/2014  11:13:16.700000	-4.684604E-4
5/15/2014  11:13:16.701000	-7.186008E-4
5/15/2014  11:13:16.702000	5.929237E-4
5/15/2014  11:13:16.703000	1.996658E-3
5/15/2014  11:13:16.704000	-4.507685E-3
5/15/2014  11:13:16.705000	-3.061033E-3
5/15/2014  11:13:16.706000	4.123457E-3
5/15/2014  11:13:16.707000	-2.447864E-3
5/15/2014  11:13:16.708000	5.063109E-3
5/15/2014  11:13:16.709000	-7.017412E-3
5/15/2014  11:13:16.710000	5.420502E-3
5/15/2014  11:13:16.711000	-4.144440E-4
5/15/2014  11:13:16.712000	-7.913886E-3
5/15/2014  11:13:16.713000	9.888911E-3
5/15/2014  11:13:16.714000	-1.689249E-3
5/15/2014  11:13:16.715000	1.157018E-3
5/15/2014  11:13:16.716000	-6.256890E-3
5/15/2014  11:13:16.717000	5.047113E-3
5/15/2014  11:13:16.718000	3.177346E-3
5/15/2014  11:13:16.719000	-5.114872E-3
5/15/2014  11:13:16.720000	1.145834E-3
5/15/2014  11:13:16.721000	1.402433E-3
5/15/2014  11:13:16.722000	6.467667E-4
5/15/2014  11:13:16.723000	-5.038052E-3
5/15/2014  11:13:16.724000	2.608916E-4
5/15/2014  11:13:16.725000	5.031723E-3
5/15/2014  11:13:16.726000	-1.774783E-3
5/15/2014  11:13:16.727000	-9.098693E-4
5/15/2014  11:13:16.728000	-2.644465E-5
5/15/2014  11:13:16.729000	2.131742E-3
5/15/2014  11:13:16.730000	-1.368142E-3
5/15/2014  11:13:16.731000	-2.579610E-3
5/15/2014  11:13:16.732000	3.952694E-3
5/15/2014  11:13:16.733000	1.701084E-3
5/15/2014  11:13:16.734000	-2.048116E-3
5/15/2014  11:13:16.735000	-2.594480E-3
5/15/2014  11:13:16.736000	1.831444E-3
5/15/2014  11:13:16.737000	1.769017E-3
5/15/2014  11:13:16.738000	-4.211245E-3
5/15/2014  11:13:16.739000	-1.734942E-4
5/15/2014  11:13:16.740000	1.744436E-3
5/15/2014  11:13:16.741000	1.308403E-3
5/15/2014  11:13:16.742000	-3.383311E-3
5/15/2014  11:13:16.743000	-1.132004E-3
5/15/2014  11:13:16.744000	5.467496E-3
5/15/2014  11:13:16.745000	-1.771488E-3
5/15/2014  11:13:16.746000	-2.683481E-3
5/15/2014  11:13:16.747000	5.970854E-4
5/15/2014  11:13:16.748000	4.025612E-3
5/15/2014  11:13:16.749000	-1.917194E-3
5/15/2014  11:13:16.750000	-2.175788E-3
5/15/2014  11:13:16.751000	3.430001E-3
5/15/2014  11:13:16.752000	1.401826E-3
5/15/2014  11:13:16.753000	-2.366102E-3
5/15/2014  11:13:16.754000	-3.331202E-3
5/15/2014  11:13:16.755000	4.013951E-3
5/15/2014  11:13:16.756000	4.972894E-4
5/15/2014  11:13:16.757000	-3.444220E-3
5/15/2014  11:13:16.758000	-1.861963E-4
5/15/2014  11:13:16.759000	3.063807E-3
5/15/2014  11:13:16.760000	6.669687E-4
5/15/2014  11:13:16.761000	-3.975584E-3
5/15/2014  11:13:16.762000	1.729393E-3
5/15/2014  11:13:16.763000	2.658597E-3
5/15/2014  11:13:16.764000	-1.709235E-3
5/15/2014  11:13:16.765000	-1.574887E-3
5/15/2014  11:13:16.766000	2.554379E-3
5/15/2014  11:13:16.767000	2.472444E-3
5/15/2014  11:13:16.768000	-3.436547E-3
5/15/2014  11:13:16.769000	-7.387594E-4
5/15/2014  11:13:16.770000	1.349848E-3
5/15/2014  11:13:16.771000	-8.540320E-4
5/15/2014  11:13:16.772000	-2.092075E-3
5/15/2014  11:13:16.773000	5.493550E-4
5/15/2014  11:13:16.774000	2.312953E-3
5/15/2014  11:13:16.775000	-1.788092E-3
5/15/2014  11:13:16.776000	-1.173232E-3
5/15/2014  11:13:16.777000	-1.963840E-4
5/15/2014  11:13:16.778000	2.567558E-3
5/15/2014  11:13:16.779000	-1.973638E-3
5/15/2014  11:13:16.780000	-9.611112E-4
5/15/2014  11:13:16.781000	2.652181E-3
5/15/2014  11:13:16.782000	2.973072E-4
5/15/2014  11:13:16.783000	-1.134996E-3
5/15/2014  11:13:16.784000	-2.626170E-3
5/15/2014  11:13:16.785000	5.857489E-3
5/15/2014  11:13:16.786000	-1.972424E-3
5/15/2014  11:13:16.787000	-3.097925E-3
5/15/2014  11:13:16.788000	1.646938E-3
5/15/2014  11:13:16.789000	7.920822E-4
5/15/2014  11:13:16.790000	2.988245E-4
5/15/2014  11:13:16.791000	-4.084354E-3
5/15/2014  11:13:16.792000	2.338314E-3
5/15/2014  11:13:16.793000	1.251655E-3
5/15/2014  11:13:16.794000	-1.005373E-3
5/15/2014  11:13:16.795000	-1.396798E-4
5/15/2014  11:13:16.796000	2.343603E-4
5/15/2014  11:13:16.797000	2.758177E-3
5/15/2014  11:13:16.798000	-2.691501E-3
5/15/2014  11:13:16.799000	-1.318547E-3
5/15/2014  11:13:16.800000	2.956078E-3
5/15/2014  11:13:16.801000	1.289762E-3
5/15/2014  11:13:16.802000	-1.871327E-3
5/15/2014  11:13:16.803000	-2.658121E-3
5/15/2014  11:13:16.804000	3.472312E-3
5/15/2014  11:13:16.805000	-9.562124E-4
5/15/2014  11:13:16.806000	-4.204742E-3
5/15/2014  11:13:16.807000	1.838163E-3
5/15/2014  11:13:16.808000	3.121292E-3
5/15/2014  11:13:16.809000	-1.432173E-3
5/15/2014  11:13:16.810000	-3.733334E-3
5/15/2014  11:13:16.811000	3.304280E-3
5/15/2014  11:13:16.812000	2.430436E-3
5/15/2014  11:13:16.813000	-3.961582E-3
5/15/2014  11:13:16.814000	-4.246750E-4
5/15/2014  11:13:16.815000	4.351272E-3
5/15/2014  11:13:16.816000	6.525325E-4
5/15/2014  11:13:16.817000	-4.321792E-3
5/15/2014  11:13:16.818000	1.550307E-3
5/15/2014  11:13:16.819000	3.012782E-3
5/15/2014  11:13:16.820000	-1.148261E-3
5/15/2014  11:13:16.821000	-2.872972E-3
5/15/2014  11:13:16.822000	9.460247E-4
5/15/2014  11:13:16.823000	2.197810E-3
5/15/2014  11:13:16.824000	-1.478993E-3
5/15/2014  11:13:16.825000	-2.132436E-3
5/15/2014  11:13:16.826000	1.739841E-3
5/15/2014  11:13:16.827000	3.535216E-3
5/15/2014  11:13:16.828000	-3.003202E-3
5/15/2014  11:13:16.829000	-1.692284E-3
5/15/2014  11:13:16.830000	2.335713E-3
5/15/2014  11:13:16.831000	1.213809E-3
5/15/2014  11:13:16.832000	-1.413531E-3
5/15/2014  11:13:16.833000	-1.370440E-3
5/15/2014  11:13:16.834000	3.278226E-3
5/15/2014  11:13:16.835000	7.722270E-4
5/15/2014  11:13:16.836000	-3.397444E-3
5/15/2014  11:13:16.837000	-1.284906E-3
5/15/2014  11:13:16.838000	2.015906E-3
5/15/2014  11:13:16.839000	5.820423E-4
5/15/2014  11:13:16.840000	-3.215973E-3
5/15/2014  11:13:16.841000	8.616186E-4
5/15/2014  11:13:16.842000	2.782757E-3
5/15/2014  11:13:16.843000	-1.561968E-3
5/15/2014  11:13:16.844000	-3.182028E-3
5/15/2014  11:13:16.845000	2.330554E-3
5/15/2014  11:13:16.846000	3.241420E-3
5/15/2014  11:13:16.847000	-3.175395E-3
5/15/2014  11:13:16.848000	-1.364934E-3
5/15/2014  11:13:16.849000	4.204265E-3
5/15/2014  11:13:16.850000	3.783752E-4
5/15/2014  11:13:16.851000	-3.460867E-3
5/15/2014  11:13:16.852000	9.422098E-4
5/15/2014  11:13:16.853000	3.979573E-3
5/15/2014  11:13:16.854000	-1.435554E-3
5/15/2014  11:13:16.855000	-3.988070E-3
5/15/2014  11:13:16.856000	7.294821E-4
5/15/2014  11:13:16.857000	2.316508E-3
5/15/2014  11:13:16.858000	-1.883032E-3
5/15/2014  11:13:16.859000	-8.411132E-4
5/15/2014  11:13:16.860000	3.222302E-3
5/15/2014  11:13:16.861000	6.639774E-4
5/15/2014  11:13:16.862000	-2.829144E-3
5/15/2014  11:13:16.863000	-9.448976E-4
5/15/2014  11:13:16.864000	3.181725E-3
5/15/2014  11:13:16.865000	5.942242E-4
5/15/2014  11:13:16.866000	-2.730952E-3
5/15/2014  11:13:16.867000	1.317984E-3
5/15/2014  11:13:16.868000	2.455797E-3
5/15/2014  11:13:16.869000	-1.239560E-3
5/15/2014  11:13:16.870000	-2.256595E-3
5/15/2014  11:13:16.871000	2.676979E-4
5/15/2014  11:13:16.872000	1.753280E-3
5/15/2014  11:13:16.873000	-2.368747E-3
5/15/2014  11:13:16.874000	-1.890272E-3
5/15/2014  11:13:16.875000	3.027218E-3
5/15/2014  11:13:16.876000	-4.154411E-4
5/15/2014  11:13:16.877000	-1.684307E-3
5/15/2014  11:13:16.878000	-4.145740E-4
5/15/2014  11:13:16.879000	2.223995E-3
5/15/2014  11:13:16.880000	1.669047E-4
5/15/2014  11:13:16.881000	-2.628685E-3
5/15/2014  11:13:16.882000	1.572850E-3
5/15/2014  11:13:16.883000	2.587370E-3
5/15/2014  11:13:16.884000	1.548096E-4
5/15/2014  11:13:16.885000	-3.574059E-3
5/15/2014  11:13:16.886000	8.187436E-4
5/15/2014  11:13:16.887000	3.411966E-3
5/15/2014  11:13:16.888000	-2.483629E-3
5/15/2014  11:13:16.889000	-2.057957E-3
5/15/2014  11:13:16.890000	2.762295E-3
5/15/2014  11:13:16.891000	1.176787E-3
5/15/2014  11:13:16.892000	-3.322011E-3
5/15/2014  11:13:16.893000	-2.029562E-3
5/15/2014  11:13:16.894000	4.661844E-3
5/15/2014  11:13:16.895000	1.203405E-3
5/15/2014  11:13:16.896000	-3.462168E-3
5/15/2014  11:13:16.897000	8.635695E-4
5/15/2014  11:13:16.898000	3.535649E-3
5/15/2014  11:13:16.899000	-1.437722E-3
5/15/2014  11:13:16.900000	-3.679751E-3
5/15/2014  11:13:16.901000	2.414786E-3
5/15/2014  11:13:16.902000	3.563048E-3
5/15/2014  11:13:16.903000	-2.201842E-3
5/15/2014  11:13:16.904000	-3.202057E-3
5/15/2014  11:13:16.905000	1.918451E-3
5/15/2014  11:13:16.906000	1.256121E-3
5/15/2014  11:13:16.907000	-4.295261E-3
5/15/2014  11:13:16.908000	-1.930936E-3
5/15/2014  11:13:16.909000	4.252646E-3
5/15/2014  11:13:16.910000	7.289619E-4
5/15/2014  11:13:16.911000	-3.920571E-3
5/15/2014  11:13:16.912000	1.742312E-4
5/15/2014  11:13:16.913000	3.387559E-3
5/15/2014  11:13:16.914000	-1.669134E-3
5/15/2014  11:13:16.915000	-2.857626E-3
5/15/2014  11:13:16.916000	2.039576E-3
5/15/2014  11:13:16.917000	3.755313E-3
5/15/2014  11:13:16.918000	-5.360460E-4
5/15/2014  11:13:16.919000	-2.619104E-3
5/15/2014  11:13:16.920000	2.045342E-3
5/15/2014  11:13:16.921000	4.623912E-4
5/15/2014  11:13:16.922000	-2.998606E-3
5/15/2014  11:13:16.923000	-9.578164E-4
5/15/2014  11:13:16.924000	2.694796E-3
5/15/2014  11:13:16.925000	1.298562E-3
5/15/2014  11:13:16.926000	-2.994228E-3
5/15/2014  11:13:16.927000	-8.294082E-4
5/15/2014  11:13:16.928000	2.307881E-3
5/15/2014  11:13:16.929000	8.501737E-4
5/15/2014  11:13:16.930000	-2.440711E-3
5/15/2014  11:13:16.931000	3.975801E-4
5/15/2014  11:13:16.932000	2.995528E-3
5/15/2014  11:13:16.933000	-8.817339E-4
5/15/2014  11:13:16.934000	-2.583555E-3
5/15/2014  11:13:16.935000	1.601462E-3
5/15/2014  11:13:16.936000	2.700129E-3
5/15/2014  11:13:16.937000	-2.211813E-3
5/15/2014  11:13:16.938000	-2.522256E-3
5/15/2014  11:13:16.939000	1.436855E-3
5/15/2014  11:13:16.940000	7.038178E-4
5/15/2014  11:13:16.941000	-3.046163E-3
5/15/2014  11:13:16.942000	-7.860563E-4
5/15/2014  11:13:16.943000	2.482285E-3
5/15/2014  11:13:16.944000	9.246956E-5
5/15/2014  11:13:16.945000	-3.224643E-3
5/15/2014  11:13:16.946000	4.205999E-4
5/15/2014  11:13:16.947000	2.949358E-3
5/15/2014  11:13:16.948000	5.262918E-4
5/15/2014  11:13:16.949000	-2.570203E-3
5/15/2014  11:13:16.950000	8.385121E-4
5/15/2014  11:13:16.951000	3.244108E-3
5/15/2014  11:13:16.952000	-2.885631E-3
5/15/2014  11:13:16.953000	-2.240859E-3
5/15/2014  11:13:16.954000	3.045296E-3
5/15/2014  11:13:16.955000	1.439196E-3
5/15/2014  11:13:16.956000	-3.648451E-3
5/15/2014  11:13:16.957000	-7.689757E-4
5/15/2014  11:13:16.958000	3.384178E-3
5/15/2014  11:13:16.959000	-1.862007E-3
5/15/2014  11:13:16.960000	-2.892437E-3
5/15/2014  11:13:16.961000	1.696923E-3
5/15/2014  11:13:16.962000	2.420986E-3
5/15/2014  11:13:16.963000	-1.087135E-3
5/15/2014  11:13:16.964000	-1.913465E-3
5/15/2014  11:13:16.965000	2.952913E-3
5/15/2014  11:13:16.966000	1.169764E-3
5/15/2014  11:13:16.967000	-2.590665E-3
5/15/2014  11:13:16.968000	-1.814276E-4
5/15/2014  11:13:16.969000	2.369570E-3
5/15/2014  11:13:16.970000	8.278475E-4
5/15/2014  11:13:16.971000	-2.799101E-3
5/15/2014  11:13:16.972000	-2.605882E-4
5/15/2014  11:13:16.973000	1.796242E-3
5/15/2014  11:13:16.974000	-1.003986E-3
5/15/2014  11:13:16.975000	-3.211767E-3
5/15/2014  11:13:16.976000	7.061154E-4
5/15/2014  11:13:16.977000	3.459567E-3
5/15/2014  11:13:16.978000	-1.203535E-3
5/15/2014  11:13:16.979000	-3.194860E-3
5/15/2014  11:13:16.980000	2.037538E-3
5/15/2014  11:13:16.981000	2.747469E-3
5/15/2014  11:13:16.982000	-2.274066E-3
5/15/2014  11:13:16.983000	-2.053102E-3
5/15/2014  11:13:16.984000	3.043909E-3
5/15/2014  11:13:16.985000	2.726140E-3
5/15/2014  11:13:16.986000	-3.211551E-3
5/15/2014  11:13:16.987000	-9.938852E-4
5/15/2014  11:13:16.988000	2.800315E-3
5/15/2014  11:13:16.989000	6.850031E-4
5/15/2014  11:13:16.990000	-4.406068E-3
5/15/2014  11:13:16.991000	-1.067757E-4
5/15/2014  11:13:16.992000	3.290668E-3
5/15/2014  11:13:16.993000	-2.093462E-4
5/15/2014  11:13:16.994000	-3.877436E-3
5/15/2014  11:13:16.995000	2.996915E-3
5/15/2014  11:13:16.996000	-2.085668E-2
