Test Article: Pier foundation
Mech. Interface: Al plate/ stud
Accelerometers: <e.g. BK 8340 S/N51828> | 
Acc. Location: <description>
Axis Convention: Z(Ch.0) vertical
Mechanical units (m.u.): m/s^2
Test Conditions: Ambient and various
Test Location: Subaru telescope, Mauna Kea, Hawaii
Test Engineer(s): PWGB, HT, DMM, PS, Daigo
Time zone: Hawaii
waveform	[0]
t0	5/15/2014  11:13:20.704125
delta t	0.001000

time	Y[0]
5/15/2014  11:13:20.704125	-2.701256E-4
5/15/2014  11:13:20.705125	-1.997785E-3
5/15/2014  11:13:20.706125	1.094678E-3
5/15/2014  11:13:20.707125	1.073566E-3
5/15/2014  11:13:20.708125	-2.727700E-4
5/15/2014  11:13:20.709125	-1.325310E-3
5/15/2014  11:13:20.710125	1.867339E-3
5/15/2014  11:13:20.711125	1.414268E-3
5/15/2014  11:13:20.712125	-2.014388E-3
5/15/2014  11:13:20.713125	-1.537778E-3
5/15/2014  11:13:20.714125	2.973766E-3
5/15/2014  11:13:20.715125	9.445074E-4
5/15/2014  11:13:20.716125	-3.999905E-3
5/15/2014  11:13:20.717125	-4.954253E-4
5/15/2014  11:13:20.718125	2.327086E-3
5/15/2014  11:13:20.719125	-1.155848E-3
5/15/2014  11:13:20.720125	-1.790519E-3
5/15/2014  11:13:20.721125	3.118344E-3
5/15/2014  11:13:20.722125	2.196510E-3
5/15/2014  11:13:20.723125	-2.784014E-3
5/15/2014  11:13:20.724125	-3.346245E-3
5/15/2014  11:13:20.725125	3.154803E-3
5/15/2014  11:13:20.726125	2.591012E-3
5/15/2014  11:13:20.727125	-2.300728E-3
5/15/2014  11:13:20.728125	4.923907E-4
5/15/2014  11:13:20.729125	2.681487E-3
5/15/2014  11:13:20.730125	-7.978047E-4
5/15/2014  11:13:20.731125	-4.114310E-3
5/15/2014  11:13:20.732125	9.534813E-4
5/15/2014  11:13:20.733125	3.987766E-3
5/15/2014  11:13:20.734125	-2.028174E-3
5/15/2014  11:13:20.735125	-2.947798E-3
5/15/2014  11:13:20.736125	8.835113E-4
5/15/2014  11:13:20.737125	1.926731E-3
5/15/2014  11:13:20.738125	-7.889609E-4
5/15/2014  11:13:20.739125	-2.538339E-3
5/15/2014  11:13:20.740125	3.159789E-3
5/15/2014  11:13:20.741125	1.586766E-3
5/15/2014  11:13:20.742125	-2.940168E-3
5/15/2014  11:13:20.743125	-2.984777E-4
5/15/2014  11:13:20.744125	2.832395E-3
5/15/2014  11:13:20.745125	9.258661E-4
5/15/2014  11:13:20.746125	-3.814142E-3
5/15/2014  11:13:20.747125	-1.802138E-4
5/15/2014  11:13:20.748125	4.259019E-3
5/15/2014  11:13:20.749125	-1.541333E-3
5/15/2014  11:13:20.750125	-2.914937E-3
5/15/2014  11:13:20.751125	2.443745E-4
5/15/2014  11:13:20.752125	1.598817E-3
5/15/2014  11:13:20.753125	-9.011989E-4
5/15/2014  11:13:20.754125	-2.896946E-3
5/15/2014  11:13:20.755125	2.518397E-3
5/15/2014  11:13:20.756125	2.454020E-3
5/15/2014  11:13:20.757125	-2.145094E-3
5/15/2014  11:13:20.758125	-2.101049E-3
5/15/2014  11:13:20.759125	3.136335E-3
5/15/2014  11:13:20.760125	3.054227E-3
5/15/2014  11:13:20.761125	-4.805036E-3
5/15/2014  11:13:20.762125	-6.909423E-4
5/15/2014  11:13:20.763125	3.747553E-3
5/15/2014  11:13:20.764125	-1.196642E-3
5/15/2014  11:13:20.765125	-1.953696E-3
5/15/2014  11:13:20.766125	1.147784E-3
5/15/2014  11:13:20.767125	2.462300E-3
5/15/2014  11:13:20.768125	-3.763030E-3
5/15/2014  11:13:20.769125	-2.668005E-3
5/15/2014  11:13:20.770125	2.441665E-3
5/15/2014  11:13:20.771125	1.628383E-3
5/15/2014  11:13:20.772125	-3.435637E-4
5/15/2014  11:13:20.773125	-1.737717E-3
