Test Article: Pier foundation
Mech. Interface: Al plate/ stud
Accelerometers: <e.g. BK 8340 S/N51828> | 
Acc. Location: <description>
Axis Convention: Z(Ch.0) vertical
Mechanical units (m.u.): m/s^2
Test Conditions: Ambient and various
Test Location: Subaru telescope, Mauna Kea, Hawaii
Test Engineer(s): PWGB, HT, DMM, PS, Daigo
Time zone: Hawaii
waveform	[0]
t0	5/15/2014  11:13:09.469750
delta t	0.001000

time	Y[0]
5/15/2014  11:13:09.469750	2.880906E-3
5/15/2014  11:13:09.470750	5.456701E-4
5/15/2014  11:13:09.471750	-7.054652E-4
5/15/2014  11:13:09.472750	-1.750376E-3
5/15/2014  11:13:09.473750	1.492952E-3
5/15/2014  11:13:09.474750	-1.435381E-3
5/15/2014  11:13:09.475750	-1.959332E-3
5/15/2014  11:13:09.476750	7.296989E-4
5/15/2014  11:13:09.477750	1.603456E-3
5/15/2014  11:13:09.478750	5.533434E-4
5/15/2014  11:13:09.479750	-4.190653E-3
5/15/2014  11:13:09.480750	3.069573E-3
5/15/2014  11:13:09.481750	1.600855E-3
5/15/2014  11:13:09.482750	-2.847958E-3
5/15/2014  11:13:09.483750	-6.811014E-4
5/15/2014  11:13:09.484750	2.311566E-3
5/15/2014  11:13:09.485750	1.409716E-3
5/15/2014  11:13:09.486750	-2.768928E-3
5/15/2014  11:13:09.487750	5.030552E-4
5/15/2014  11:13:09.488750	2.336796E-3
5/15/2014  11:13:09.489750	-5.920133E-4
5/15/2014  11:13:09.490750	-3.318283E-3
5/15/2014  11:13:09.491750	-1.141368E-3
5/15/2014  11:13:09.492750	4.506471E-3
5/15/2014  11:13:09.493750	-2.113144E-3
5/15/2014  11:13:09.494750	-2.724969E-3
5/15/2014  11:13:09.495750	2.585983E-3
5/15/2014  11:13:09.496750	5.793979E-4
5/15/2014  11:13:09.497750	-1.981224E-3
5/15/2014  11:13:09.498750	-1.430959E-3
5/15/2014  11:13:09.499750	3.250741E-3
5/15/2014  11:13:09.500750	1.634062E-3
5/15/2014  11:13:09.501750	-4.308223E-3
5/15/2014  11:13:09.502750	1.520784E-4
5/15/2014  11:13:09.503750	4.378627E-3
5/15/2014  11:13:09.504750	-6.380963E-4
5/15/2014  11:13:09.505750	-2.884201E-3
5/15/2014  11:13:09.506750	1.173102E-4
5/15/2014  11:13:09.507750	1.482244E-3
5/15/2014  11:13:09.508750	-2.631242E-3
5/15/2014  11:13:09.509750	-3.648408E-3
5/15/2014  11:13:09.510750	3.655517E-3
5/15/2014  11:13:09.511750	1.913639E-3
5/15/2014  11:13:09.512750	-1.485582E-3
