Timestamp,Milliseconds,X,Y,Z
2019-06-25 11:40:08,810,-3.1752777,-9.224335,0.92123413
2019-06-25 11:40:08,820,-3.1968079,-9.181259,-0.38046265
2019-06-25 11:40:08,830,-3.1872406,-9.255432,0.04547119
2019-06-25 11:40:08,841,-3.225525,-9.327225,0.5766754
2019-06-25 11:40:08,850,-3.1824493,-9.233902,-0.75613403
2019-06-25 11:40:08,860,-3.2159576,-9.257828,1.4021912
2019-06-25 11:40:08,871,-3.1752777,-9.174088,-1.3423767
2019-06-25 11:40:08,880,-3.2374878,-9.3511505,2.0075836
2019-06-25 11:40:08,890,-3.247055,-9.348755,1.3997955
2019-06-25 11:40:08,901,-3.2063751,-9.195618,-1.1916199
2019-06-25 11:40:08,910,-3.2350922,-9.298508,2.0147552
2019-06-25 11:40:08,920,-3.2303162,-9.202789,-1.6127625
2019-06-25 11:40:08,931,-3.270996,-9.367905,2.2779694
2019-06-25 11:40:08,940,-3.2326965,-9.195618,-1.7108612
2019-06-25 11:40:08,950,-3.2494507,-9.293716,2.100891
2019-06-25 11:40:08,960,-3.2350922,-9.195618,-1.4333038
2019-06-25 11:40:08,970,-3.270996,-9.346359,1.5194397
2019-06-25 11:40:08,981,-3.2853394,-9.353546,2.100891
2019-06-25 11:40:08,990,-3.242279,-9.267395,0.69392395
2019-06-25 11:40:08,1000,-3.2374878,-9.265015,1.552948
2019-06-25 11:40:08,1010,-3.247055,-9.219543,-0.9379883
2019-06-25 11:40:08,1020,-3.254242,-9.32962,0.72262573
2019-06-25 11:40:08,1031,-3.2446747,-9.269791,-0.08375549
2019-06-25 11:40:08,1040,-3.2446747,-9.291336,1.6773682
2019-06-25 11:40:08,1050,-3.2398834,-9.274582,0.83509827
2019-06-25 11:40:08,1062,-3.2326965,-9.348755,2.0554352
2019-06-25 11:40:08,1070,-3.2350922,-9.353546,1.5888367
2019-06-25 11:40:08,1080,-3.2183533,-9.276978,0.7537384
2019-06-25 11:40:08,1091,-3.172882,-9.188446,-0.8494568
2019-06-25 11:40:08,1100,-3.2326965,-9.312866,1.5625153
2019-06-25 11:40:08,1112,-3.1872406,-9.241089,-1.3830566
2019-06-25 11:40:08,1120,-3.213562,-9.346359,2.0841522
2019-06-25 11:40:08,1130,-3.1944122,-9.18605,-1.7060852
2019-06-25 11:40:08,1140,-3.2015991,-9.322433,2.2612152
2019-06-25 11:40:08,1151,-3.2111664,-9.312866,1.2394867
2019-06-25 11:40:08,1160,-3.2231293,-9.346359,1.9908295
2019-06-25 11:40:08,1170,-3.2231293,-9.217148,-1.2586212
2019-06-25 11:40:08,1181,-3.2183533,-9.200409,-1.6797638
2019-06-25 11:40:08,1191,-3.2518463,-9.341583,2.0434723
2019-06-25 11:40:08,1200,-3.2207336,-9.284149,0.47616577
2019-06-25 11:40:08,1210,-3.242279,-9.28894,1.3950195
2019-06-25 11:40:08,1220,-3.2518463,-9.224335,-0.65802
2019-06-25 11:40:08,1231,-3.2398834,-9.276978,0.5264282
2019-06-25 11:40:08,1240,-3.259018,-9.286545,0.2416687
2019-06-25 11:40:08,1250,-3.2326965,-9.2482605,-0.37806702
2019-06-25 11:40:08,1260,-3.254242,-9.296112,1.0983124
2019-06-25 11:40:08,1271,-3.2566376,-9.272186,0.06460571
2019-06-25 11:40:08,1280,-3.259018,-9.332016,1.7730865
2019-06-25 11:40:09,1292,-3.2566376,-9.286545,0.9834442
2019-06-25 11:40:09,1300,-3.2111664,-9.195618,-1.0432739
2019-06-25 11:40:09,1310,-3.254242,-9.315262,1.7132568
2019-06-25 11:40:09,1320,-3.2111664,-9.214767,-1.5505524
2019-06-25 11:40:09,1331,-3.2398834,-9.317657,2.148758
2019-06-25 11:40:09,1340,-3.2039948,-9.18605,-1.7658997
2019-06-25 11:40:09,1350,-3.2087708,-9.315262,2.1846466
2019-06-25 11:40:09,1360,-3.1968079,-9.224335,-1.6414795
2019-06-25 11:40:09,1371,-3.180069,-9.214767,-1.6917267
2019-06-25 11:40:09,1380,-3.1944122,-9.214767,-1.0911255
2019-06-25 11:40:09,1391,-3.172882,-9.178864,-1.6295166
2019-06-25 11:40:09,1400,-3.2039948,-9.303299,1.9118652
2019-06-25 11:40:09,1410,-3.2111664,-9.257828,-1.1509552
2019-06-25 11:40:09,1421,-3.2087708,-9.320038,1.2035828
2019-06-25 11:40:09,1430,-3.2039948,-9.219543,-0.36610413
2019-06-25 11:40:09,1440,-3.1968079,-9.255432,0.31825256
2019-06-25 11:40:09,1451,-3.2374878,-9.291336,0.5479584
2019-06-25 11:40:09,1460,-3.2087708,-9.253052,-0.5623169
